No,namaGrup,kataKunci,pengeluaran,pendapatan,totalEfektivitasIklan,efektivitasIklan,tampil,klik,persentaseKlik,terjual,totTerjual,rataRata,tampilTeratas
710,vegetable,Green Onions/Scallions,162,115157,711,711,483,1,0.21,0,0,162,78
711,spices,Celery seed,8986,223502,25,25,366,2,0.55,0,0,4493,221
712,fruit,Black cherry,1771,217276,123,123,608,3,0.49,0,0,590,266
713,vegetable,Green peas,10122,59120,6,6,626,9,1.44,0,0,1125,225
714,fruit,Desert banana,12406,318897,26,26,6,9,150.0,0,0,1378,70
715,dish,London broil,13036,191227,15,15,395,8,2.03,0,0,1630,101
716,dish,Eggs Neptune,9076,405432,45,45,376,5,1.33,0,5,1815,87
717,spices,Cumin,11060,225059,20,20,446,8,1.79,0,0,1382,171
718,spices,Basil,14363,302315,21,21,91,9,9.89,0,1,1596,222
719,vegetable,Ornamental,11021,349000,32,32,468,1,0.21,0,0,11021,125
720,spices,"Licorice, liquorice",3778,33073,9,9,616,9,1.46,0,6,420,123
721,vegetable,Romaine,13414,121643,9,9,604,8,1.32,0,0,1677,64
722,spices,Asarabacca,31,365036,11775,11775,130,3,2.31,0,0,10,177
723,drink,Sake Bomb,18812,80269,4,4,639,1,0.16,0,0,18812,49
724,drink,Wine,5429,384379,71,71,5,0,0.0,0,0,0,275
725,fruit,Coco plum,15251,370361,24,24,372,6,1.61,0,0,2542,56
726,dish,Sloppy joe,11995,209573,17,17,528,3,0.57,0,0,3998,96
727,dish,Chimichanga,5332,334358,63,63,692,10,1.45,0,3,533,101
728,dish,Shrimp and Grits,16229,436312,27,27,94,7,7.45,0,0,2318,201
729,fruit,Partridgeberry,16657,319148,19,19,104,8,7.69,0,0,2082,125
730,fruit,European blueberry,11309,111450,10,10,252,5,1.98,0,0,2262,182
